2017-03-16 16:59:25,285 [Thread-9] ERROR org.eclipse.jgit.util.FS - xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools), missing xcrun at: /Library/Developer/CommandLineTools/usr/bin/xcrun

2017-03-16 16:59:25,310 [Thread-10] ERROR org.eclipse.jgit.util.FS - xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools), missing xcrun at: /Library/Developer/CommandLineTools/usr/bin/xcrun

2017-03-16 17:13:59,593 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BluebirdJPA:BluebirdJPA:0.0.1-SNAPSHOT @ /Users/Pat-Levi-Gaston/Desktop/ProjectBluebird/BluebirdJPA/pom.xml.
2017-03-16 17:14:03,259 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /BluebirdJPA/src
2017-03-16 17:14:03,260 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /BluebirdJPA/src overlaps with sources folder /BluebirdJPA/src
2017-03-16 17:14:03,267 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /BluebirdJPA/src/test/java because it overlaps with /BluebirdJPA/src
2017-03-16 17:14:03,747 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-03-16 17:14:06,491 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BluebirdJPA:BluebirdJPA:0.0.1-SNAPSHOT @ /Users/Pat-Levi-Gaston/Desktop/ProjectBluebird/BluebirdJPA/pom.xml.
2017-03-16 17:14:06,981 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /BluebirdJPA/src
2017-03-16 17:14:06,982 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /BluebirdJPA/src overlaps with sources folder /BluebirdJPA/src
2017-03-16 17:14:06,993 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /BluebirdJPA/src/test/java because it overlaps with /BluebirdJPA/src
2017-03-16 17:14:07,495 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2017-03-16 17:14:07,639 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-16 17:14:07,664 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-16 17:14:07,678 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-16 17:14:07,679 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Pat-Levi-Gaston/Desktop/ProjectBluebird/BluebirdJPA/src/test/resources
