127.0.0.1 - - [16/Mar/2017:19:08:59 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:00 -0600] "GET /BluebirdMVC/ HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 23739
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/js/ui-bootstrap-tpls-2.2.0.min.js HTTP/1.1" 200 123896
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/js/angular-route.min.js HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/js/Chart.min.js HTTP/1.1" 200 144069
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/app_client/ngApp.js HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/app_client/controllers/landingController.js HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/js/angular-chart.min.js HTTP/1.1" 200 6042
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/app_client/controllers/registerController.js HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/app_client/controllers/loginController.js HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/app_client/controllers/profileController.js HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:01 -0600] "GET /BluebirdMVC/app_client/controllers/logoutController.js HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:15 -0600] "GET /BluebirdMVC/ HTTP/1.1" 200 1040
